date,gross_return,commission_cost,slippage_cost,borrow_cost,net_return,turnover,gross_exposure,full_gross_exposure,cap_binding,n_long,n_short
2013-02-12,0.0005290433091811239,0.0001,0.0003,3.287981859410431e-05,9.616349058701966e-05,2.0,1.0,True,True,21,21
2013-02-13,-0.0012815247378648413,0.0001,0.0003,3.462034172222365e-05,-0.0017161450795870649,2.0,1.0,True,True,21,21
2013-02-14,-0.0012575708687298133,0.0001,0.0003,2.813892623925794e-05,-0.0016857097949690711,2.0,1.0,True,True,21,21
2013-02-15,0.0031596608033447227,9.999999999999996e-05,0.00029999999999999987,3.676700620346984e-05,0.0027228937971412533,1.9999999999999991,0.9999999999999996,True,True,21,21
2013-02-19,0.002642295232407261,9.999999999999998e-05,0.00029999999999999987,2.4281002643500558e-05,0.002218014229763761,1.9999999999999993,0.9999999999999997,True,True,21,21
2013-02-20,-0.0004648672199313679,0.0001,0.0003,2.99578200093482e-05,-0.0008948250399407161,2.0,1.0,True,True,21,21
2013-02-21,0.0027852535547805667,9.999999999999998e-05,0.0002999999999999999,2.8439333522986488e-05,0.0023568142212575804,1.9999999999999996,0.9999999999999998,True,True,21,21
2013-02-22,0.002309014599952876,9.999999999999998e-05,0.0002999999999999999,2.5699168556311414e-05,0.0018833154313965647,1.9999999999999996,0.9999999999999998,True,True,21,21
2013-02-25,0.00033425625815304647,9.999999999999998e-05,0.00029999999999999987,1.850580632951946e-05,-8.424954817647284e-05,1.9999999999999993,0.9999999999999997,True,True,21,21
2013-02-26,0.0023564732607102164,0.0001,0.0003,2.305366591080877e-05,0.0019334195947994079,2.0,1.0,True,True,21,21
2013-02-27,0.0028808071684597947,0.0001,0.0003,3.0507392872692072e-05,0.0024502997755871028,2.0,1.0,True,True,21,21
2013-02-28,-0.0010766170277002125,0.0001,0.0003,2.4225615444864636e-05,-0.0015008426431450772,2.0,1.0,True,True,22,22
2013-03-01,-0.00029537924606529414,9.999999999999999e-05,0.0002999999999999999,1.5584796791611784e-05,-0.0007109640428569059,1.9999999999999998,0.9999999999999999,True,True,22,22
2013-03-04,0.004252768666296708,0.0001,0.0003,2.0923520923520932e-05,0.0038318451453731874,2.0,1.0,True,True,22,22
2013-03-05,0.004366542910628931,9.999999999999998e-05,0.0002999999999999999,2.51869553977439e-05,0.003941355955231187,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-03-06,0.0030707010618159962,9.999999999999998e-05,0.0002999999999999999,1.9496429300301323e-05,0.002651204632515695,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-03-07,0.002738113031199696,9.999999999999998e-05,0.0002999999999999999,2.4080208947131644e-05,0.0023140328222525644,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-03-08,-0.00034649337779151207,9.999999999999995e-05,0.0002999999999999998,2.3117840687843253e-05,-0.0007696112184793551,1.999999999999999,0.9999999999999994,True,True,22,22
2013-03-11,0.00021000722792344944,9.999999999999996e-05,0.00029999999999999987,2.8034913897360684e-05,-0.00021802768597391106,1.9999999999999991,0.9999999999999996,True,True,22,22
2013-03-12,0.00040207211398408645,9.999999999999998e-05,0.0002999999999999999,4.6215525988936004e-05,-4.414341200484947e-05,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-03-13,0.0012575363869964714,0.0001,0.0003,3.510046405977473e-05,0.0008224359229366967,2.0,1.0,True,True,22,22
2013-03-14,0.0016986445911300425,0.0001,0.0003,2.165134985359063e-05,0.0012769932412764519,2.0,1.0,True,True,22,22
2013-03-15,-0.001457528190076358,9.999999999999998e-05,0.0002999999999999999,2.758827915902016e-05,-0.001885116469235378,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-03-18,-0.00036812121115693656,9.999999999999998e-05,0.0002999999999999999,3.083835869804359e-05,-0.00079895956985498,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-03-19,0.002727227144999493,9.999999999999998e-05,0.0002999999999999999,1.4893580574863968e-05,0.002312333564424629,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-03-20,-0.0025570417216605025,9.999999999999998e-05,0.00029999999999999987,1.841252724444126e-05,-0.0029754542489049437,1.9999999999999993,0.9999999999999997,True,True,22,22
2013-03-21,0.0009729446121041182,9.999999999999999e-05,0.0002999999999999999,1.876132566550783e-05,0.0005541832864386103,1.9999999999999998,0.9999999999999999,True,True,22,22
2013-03-22,0.00015621996515970474,9.999999999999998e-05,0.0002999999999999999,1.823449993286468e-05,-0.00026201453477315987,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-03-25,0.0014015545184270406,0.0001,0.0003,3.183417295983898e-05,0.0009697203454672017,2.0,1.0,True,True,22,22
2013-03-26,-0.0018414339170506329,0.00010000000000000005,0.0003000000000000001,3.6235052544696677e-05,-0.00227766896959533,2.000000000000001,1.0000000000000004,True,True,22,22
2013-03-27,-0.0008380486126382523,0.00010000000000000003,0.00030000000000000003,2.8852945930818027e-05,-0.0012669015585690705,2.0000000000000004,1.0000000000000002,True,True,22,22
