year,strategy_name,AUM,annual_return,annual_vol,annual_sharpe,max_drawdown,IC_mean,average_gross_exposure_used
2018,previous_champion_4y_rolling,50000000.0,-0.0047213863222898,0.03485021014941232,-0.11844178784946972,-0.03205399509370055,,1.0
2019,final_expanding_window,50000000.0,0.07891094172273716,0.034379061709082594,2.2266945619706524,-0.011961546074793938,0.032270639620334426,0.9999999999999999
2019,previous_champion_4y_rolling,50000000.0,0.027110950824764002,0.030834060310462177,0.8829527712774067,-0.01637752991055441,,1.0
2020,final_expanding_window,50000000.0,0.10017706588074171,0.08594307497105559,1.1539503913493077,-0.04980705185635015,0.01829914044520242,1.0
2020,previous_champion_4y_rolling,50000000.0,-0.035348954781708186,0.09300688559850774,-0.3404413240654961,-0.11729016887482979,,1.0
2021,final_expanding_window,50000000.0,0.028058160852818093,0.05228131285178873,0.5553470889284845,-0.05936994153829844,-0.010716640878976119,1.0
2021,previous_champion_4y_rolling,50000000.0,-0.021625997408414976,0.04555899778650833,-0.4571916730382755,-0.04418999420069192,,0.9999999999999999
2022,final_expanding_window,50000000.0,0.2604840761098888,0.07088796201466656,3.3024096775288037,-0.025296728470352803,0.03967990907991929,0.9999999999999999
2022,previous_champion_4y_rolling,50000000.0,0.25386230311417646,0.07057486949491161,3.2420495302803265,-0.022964036999609583,,0.9999999999999999
2023,final_expanding_window,50000000.0,0.06462982684921226,0.0519708209747637,1.231031104874922,-0.04505031260817294,0.026990816104150564,0.9999999999999999
2023,previous_champion_4y_rolling,50000000.0,0.022661980641834445,0.05460444174443007,0.43760012555604905,-0.054976332437428055,,0.9999999999999999
2024,final_expanding_window,50000000.0,-0.02284785763088304,0.04864440019575888,-0.4509533283179544,-0.04178237966316223,0.007628744960772721,0.9960317460317459
2024,previous_champion_4y_rolling,50000000.0,-0.02544205265889732,0.05659410892450995,-0.42722502806426477,-0.08020123171294757,,0.9960317460317459
2010,final_expanding_window,250000000.0,-0.10090323942890078,0.03418492781432723,-3.0937486638177982,-0.10186483004750413,-0.03483020437657628,0.42458494760980536
2010,previous_champion_4y_rolling,250000000.0,-0.10090323942890078,0.03418492781432723,-3.0937486638177982,-0.10186483004750413,,0.42458494760980536
2011,final_expanding_window,250000000.0,0.21387368771235438,0.0562686284180829,3.4737613667029215,-0.020771223800168714,0.06222093466901521,0.6753893655599709
2011,previous_champion_4y_rolling,250000000.0,0.21387368771235438,0.0562686284180829,3.4737613667029215,-0.020771223800168714,,0.6753893655599709
2012,final_expanding_window,250000000.0,0.06700838650346208,0.027976682349657847,2.3325446729948283,-0.016800914243560894,0.04673803526148536,0.5692903655475016
2012,previous_champion_4y_rolling,250000000.0,0.06700838650346208,0.027976682349657847,2.3325446729948283,-0.016800914243560894,,0.5692903655475016
2013,final_expanding_window,250000000.0,0.05614539758146431,0.023805937006735958,2.3067040553860276,-0.011724786385346131,0.07220218303285028,0.6402375342047206
2013,previous_champion_4y_rolling,250000000.0,0.05614539758146431,0.023805937006735958,2.3067040553860276,-0.011724786385346131,,0.6402375342047206
2014,final_expanding_window,250000000.0,0.02573586178105347,0.036601877610635776,0.7124982433203256,-0.050059254621681926,0.042272319753262136,0.8035440078905186
2014,previous_champion_4y_rolling,250000000.0,0.02573586178105347,0.036601877610635776,0.7124982433203256,-0.050059254621681926,,0.8035440078905186
2015,final_expanding_window,250000000.0,0.03913561682171873,0.024564349654727705,1.575143756802011,-0.010623094253010557,0.03378486949422417,0.6458968415536562
2015,previous_champion_4y_rolling,250000000.0,0.015804524834392097,0.02307380312456848,0.6911028099063921,-0.017256449045807032,,0.5743508360353445
2016,final_expanding_window,250000000.0,0.033047468528219826,0.023257883953641246,1.4096242739485751,-0.015341208457683053,0.046007233212398246,0.47442563149226963
2016,previous_champion_4y_rolling,250000000.0,0.011262161823646366,0.019706831244557934,0.5781356926409071,-0.018271320475264252,,0.38383490316869934
2017,final_expanding_window,250000000.0,0.01639784707454761,0.020497883568532844,0.8037195295356723,-0.013493674856571936,0.031339328090615945,0.6108091098296052
2017,previous_champion_4y_rolling,250000000.0,-0.004634659915190631,0.013752607581168617,-0.3309340272379859,-0.016041658366381273,,0.4284001534562044
2018,final_expanding_window,250000000.0,0.030777164294386594,0.03841028784070211,0.8083353079972553,-0.03382108455450328,0.020311181024972234,0.8130197023264444
2018,previous_champion_4y_rolling,250000000.0,0.028214499008986094,0.03010731820866778,0.9391501863736694,-0.01986866598852932,,0.6911342472069911
2019,final_expanding_window,250000000.0,0.12299961506559609,0.03639543626572449,3.206134440823692,-0.010265512374797447,0.032270639620334426,0.8088787141344128
2019,previous_champion_4y_rolling,250000000.0,0.05854473846082153,0.03528476058525142,1.6301982310239778,-0.013817535205852827,,0.8377547528048154
2020,final_expanding_window,250000000.0,0.15532008208998427,0.09567312785824704,1.5572947137988697,-0.04782394720222238,0.01829914044520242,0.884464783467308
2020,previous_champion_4y_rolling,250000000.0,-0.03146565010703051,0.09227003424201512,-0.30025670651874575,-0.09082102657104818,,0.8650857817398482
2021,final_expanding_window,250000000.0,0.10832128786722928,0.05961679577042311,1.755113430430101,-0.05465606060398842,-0.010716640878976119,0.9618170601188758
2021,previous_champion_4y_rolling,250000000.0,0.02703936315710953,0.05474590751008328,0.5146168387505926,-0.05703264384457818,,0.7736140321680235
2022,final_expanding_window,250000000.0,0.32241181892465276,0.0802378097935453,3.5247225679075505,-0.02634728231203265,0.03967990907991929,0.9922668657147264
2022,previous_champion_4y_rolling,250000000.0,0.28214161069850596,0.08096806088998096,3.1112592790866422,-0.028597486686192664,,0.9546318984306119
2023,final_expanding_window,250000000.0,0.09695837058776657,0.05315376541424729,1.7677639671811203,-0.04852253795306183,0.026990816104150564,0.960730893345869
2023,previous_champion_4y_rolling,250000000.0,0.039906812469713726,0.05950778403637578,0.6872764017145992,-0.05884310078620636,,0.9541941542167978
2024,final_expanding_window,250000000.0,-0.02614697525970444,0.05726300250697263,-0.43425684479213195,-0.050874757644424506,0.007628744960772721,0.9807109384353585
2024,previous_champion_4y_rolling,250000000.0,-0.04127282293759038,0.061724597917574286,-0.6521127399409484,-0.08300582608735818,,0.9880923540232419
