date,gross_return,commission_cost,slippage_cost,borrow_cost,net_return,turnover,gross_exposure,cap_binding,n_long,n_short
2012-03-26,0.0003025638496792068,5.794295530101401e-05,0.000173828865903042,6.169841967353493e-06,6.462218650779729e-05,1.1588591060202802,0.5794295530101401,True,20,20
2012-03-27,-0.0008419677033019205,7.78677332824822e-05,0.00023360319984744654,3.212310928562918e-05,-0.0011855617457174783,1.5573546656496438,0.7786773328248219,True,20,20
2012-03-28,-0.0004404887408427766,5.1802613816160805e-05,0.00015540784144848238,4.111318556838159e-06,-0.0006518105146642579,1.036052276323216,0.518026138161608,True,20,20
2012-03-29,0.002717231017388488,7.342597462259439e-05,0.00022027792386778314,5.827458303380508e-06,0.00241769966059473,1.4685194924518878,0.7342597462259439,True,20,20
2012-03-30,0.002607689923875087,7.385866542895117e-05,0.00022157599628685348,5.861798843567554e-06,0.0023063934633157147,1.4771733085790233,0.7385866542895116,True,20,20
2012-04-02,0.0013242189679726045,8.163477755490039e-05,0.0002449043326647011,6.4789505995952695e-06,0.0009912009071534078,1.6326955510980077,0.8163477755490038,True,20,20
2012-04-03,-0.0015695846226567757,6.286005470812181e-05,0.0001885801641243654,4.988893230803318e-06,-0.0018260137347200663,1.257201094162436,0.628600547081218,True,20,20
2012-04-04,0.0007840025507371052,4.84476854796758e-05,0.0001453430564390274,3.845054403148874e-06,0.0005863667544152531,0.968953709593516,0.484476854796758,True,20,20
2012-04-05,-0.0008877025937327602,5.0711092539103e-05,0.00015213327761730899,4.024689884055793e-06,-0.001094571653773228,1.01422185078206,0.50711092539103,True,20,20
2012-04-09,0.001813001645670694,6.0528607843942606e-05,0.0001815858235318278,4.803857765392271e-06,0.0015660833565295316,1.2105721568788521,0.6052860784394261,True,20,20
2012-04-10,0.0011396125728863802,4.5786873627606596e-05,0.00013736062088281977,3.633878859333856e-06,0.0009528311995166199,0.9157374725521319,0.45786873627606595,True,20,20
2012-04-11,0.0006649122581458564,5.274924695854381e-05,0.0001582477408756314,7.2846199459161774e-06,0.000446630650365765,1.054984939170876,0.527492469585438,True,20,20
2012-04-12,-0.0025068203740189242,7.505424567367357e-05,0.00022516273702102068,1.3504631712604317e-05,-0.0028205419884262226,1.5010849134734714,0.7505424567367357,True,20,20
2012-04-13,0.0008419960330794749,5.8560526630927216e-05,0.00017568157989278162,4.647660843724382e-06,0.0006031062657120417,1.1712105326185442,0.5856052663092721,True,20,20
2012-04-16,0.003937137064946129,7.047602970203919e-05,0.00021142808910611755,5.593335690638032e-06,0.003649639610447334,1.4095205940407838,0.7047602970203919,True,19,19
2012-04-17,-0.001123448081469085,5.522737949608441e-05,0.0001656821384882532,4.383125356832097e-06,-0.0013487407248102547,1.1045475899216881,0.5522737949608441,True,19,19
2012-04-18,0.0030143449092268947,6.33546929596904e-05,0.0001900640788790712,5.028150234896064e-06,0.0027558979871532374,1.2670938591938081,0.6335469295969041,True,19,19
2012-04-19,0.00424951885108775,3.985202495833841e-05,0.00011955607487501522,3.162859123677652e-06,0.004086947892130719,0.7970404991667682,0.3985202495833841,True,19,19
2012-04-20,-0.0006711365985689646,2.0293765814893396e-05,6.0881297444680176e-05,1.6106163345153489e-06,-0.0007539222781630534,0.4058753162978679,0.20293765814893394,True,19,19
2012-04-23,-0.0003441349812153281,3.83635849954502e-05,0.00011509075498635058,3.044728967892873e-06,-0.0005006340501650218,0.7672716999090039,0.38363584995450195,True,19,19
2012-04-24,0.0011782239552457067,5.0004907514544406e-05,0.0001500147225436332,3.9686434535352685e-06,0.0009742356817339939,1.000098150290888,0.500049075145444,True,18,18
2012-04-25,-0.00030479592074647056,4.49579514671898e-05,0.00013487385440156939,1.6379078883457282e-05,-0.000501006805498687,0.899159029343796,0.449579514671898,True,18,18
2012-04-26,0.0008632608418027752,4.2388031694927405e-05,0.0001271640950847822,3.364129499597412e-06,0.0006903445855234682,0.847760633898548,0.423880316949274,True,18,18
2012-04-27,-0.0004192130231556822,4.9296411054596994e-05,0.00014788923316379096,3.912413575761665e-06,-0.0006203110809498318,0.9859282210919399,0.49296411054596995,True,19,19
2012-04-30,0.0006441674290486819,6.478953839122442e-05,0.00019436861517367323,5.142026856446381e-06,0.00037986724862733783,1.2957907678244882,0.6478953839122441,True,19,19
2012-05-01,-0.000317511365772321,3.101187613701539e-05,9.303562841104615e-05,2.461260010874238e-06,-0.00044402013033125674,0.6202375227403077,0.3101187613701539,True,19,19
2012-05-02,0.0004488653195371821,4.19766482173136e-05,0.00012592994465194078,3.331480017247111e-06,0.00027762724665068064,0.839532964346272,0.419766482173136,True,19,19
2012-05-03,-0.00019003527205947875,7.66592365493142e-05,0.0002299777096479426,6.084066392802714e-06,-0.0005027562846495381,1.533184730986284,0.766592365493142,True,19,19
2012-05-04,0.0002682691088884664,5.910349333647982e-05,0.00017731048000943944,4.690753439403159e-06,2.7164382103143982e-05,1.1820698667295964,0.5910349333647982,True,20,20
2012-05-07,-0.0012000879547971743,5.1031891677269605e-05,0.0001530956750318088,4.050150133116636e-06,-0.0014082656716393695,1.020637833545392,0.510318916772696,True,20,20
2012-05-08,-0.0011249629091707528,6.792785507463901e-05,0.000203783565223917,5.3910996090983334e-06,-0.0014020654290784072,1.3585571014927802,0.6792785507463901,True,20,20
2012-05-09,0.0017146991156197886,3.332861561948e-05,9.998584685843998e-05,2.6451282237682533e-06,0.0015787395249181,0.6665723123895999,0.33328615619479995,True,20,20
2012-05-10,-0.0010404717098681116,3.68234251616358e-05,0.00011047027548490738,9.648341464895623e-06,-0.0011974137519795503,0.736468503232716,0.368234251616358,True,20,20
2012-05-11,-0.0009310243973105182,4.796383789264642e-05,0.00014389151367793924,3.806653801003683e-06,-0.0011266864026821075,0.9592767578529283,0.47963837892646416,True,20,20
2012-05-14,0.0005516052056688833,4.950911432011342e-05,0.00014852734296034022,3.929294787310587e-06,0.0003496394536011192,0.9901822864022682,0.4950911432011341,True,20,20
2012-05-15,0.0012699327226904818,5.3254090779047394e-05,0.00015976227233714216,4.226515141194238e-06,0.001052689844433098,1.0650818155809478,0.5325409077904739,True,20,20
2012-05-16,0.0013107935324383783,4.0473593277508e-05,0.000121420779832524,3.2121899426593644e-06,0.001145686969385687,0.80947186555016,0.40473593277508,True,20,20
2012-05-17,0.007172049234892452,7.586238101804299e-05,0.00022758714305412894,6.0208238903208706e-06,0.0068625788869299586,1.5172476203608598,0.7586238101804299,True,20,20
