date,ic,n
2017-11-29,0.15795656879624315,913
2017-11-30,-0.10616006135966229,920
2017-12-01,0.06170521637446368,928
2017-12-04,-0.05106933253113854,928
2017-12-05,-0.1561501233380455,925
2017-12-06,0.15315921330620344,929
2017-12-07,0.28116853126688285,934
2017-12-08,0.11938956048304263,939
2017-12-11,-0.01199704714567082,946
2017-12-12,-0.015494828280046967,946
2017-12-13,0.06151236174301892,934
2017-12-14,0.15166017066649906,936
2017-12-15,0.2723440235942892,939
2017-12-18,0.14329487457360918,953
2017-12-19,0.10807376555619838,949
2017-12-20,0.14289328207558186,954
2017-12-21,-0.022188479062738388,953
2017-12-22,-0.1036316193799044,957
2017-12-26,0.029154304033241835,959
2017-12-27,0.0917445322972205,946
2017-12-28,-0.001829417523082266,946
2017-12-29,0.12405907208760257,950
2018-01-02,0.15372527138907122,963
2018-01-03,0.16811174523649103,954
2018-01-04,0.16185772904466786,957
2018-01-05,0.08018228621069265,960
2018-01-08,0.11889135092982149,960
2018-01-09,0.009486958632659276,959
2018-01-10,0.15130118022130987,962
2018-01-11,0.12595549313109605,961
2018-01-12,0.0884251587592926,955
2018-01-16,0.14442460739132945,945
2018-01-17,0.08309647283903517,937
2018-01-18,0.22213625037379575,933
2018-01-19,0.03338318711543654,919
2018-01-22,0.10968351374303133,910
2018-01-23,0.08083132812242115,880
2018-01-24,0.22497593640412444,879
2018-01-25,0.23092419498283476,902
2018-01-26,-0.07653216464056121,915
2018-01-29,-0.24806401194590608,899
2018-01-30,-0.011054606502286695,844
2018-01-31,-0.2221863914930848,843
2018-02-01,-0.21384082169450983,870
2018-02-02,0.05509659201301314,909
2018-02-05,-0.08783551283848262,904
2018-02-06,-0.1414040111078809,855
2018-02-07,0.01802463422458902,860
2018-02-08,0.16609831330406752,898
2018-02-09,0.5224828439227617,939
2018-02-12,-0.1827426428808772,942
2018-02-13,0.05943327290721428,912
2018-02-14,0.2599142651825512,913
2018-02-15,0.02941699783803582,920
2018-02-16,-0.03298487004790892,934
2018-02-20,0.1023761993394236,916
2018-02-21,0.1085856852833479,899
2018-02-22,0.24960007192416628,920
2018-02-23,0.1935868622893298,943
2018-02-26,-0.00022069574313163487,940
2018-02-27,0.060499815083729466,922
2018-02-28,0.07045413944329963,927
2018-03-01,-0.31364054782306433,954
2018-03-02,-0.13395580455670622,960
2018-03-05,0.17893129337794061,960
2018-03-06,-0.32657999771210583,952
2018-03-07,0.07125172720045013,953
2018-03-08,0.09213676252707882,962
2018-03-09,0.06321595743976222,969
2018-03-12,0.07964521705355358,969
2018-03-13,0.18852893853984004,966
2018-03-14,0.16672476060597136,965
2018-03-15,0.041560240694400064,965
2018-03-16,-0.22481892942541423,970
2018-03-19,0.22734364544277116,978
2018-03-20,0.11054932483968921,961
2018-03-21,-0.3242778005649444,959
2018-03-22,-0.012706803049200271,965
2018-03-23,0.3972723699278614,976
2018-03-26,0.30597608055188696,981
2018-03-27,-0.1595930595527672,979
2018-03-28,0.2699307133182433,980
2018-03-29,-0.2974834180832043,981
2018-04-02,0.17956933937505073,982
2018-04-03,-0.5406505985643877,976
2018-04-04,0.2616016117331754,978
2018-04-05,-0.3593966743701259,980
2018-04-06,0.07711136566310295,979
2018-04-09,0.48776247550761126,976
2018-04-10,-0.3263109888411277,976
2018-04-11,0.2539736005283288,971
2018-04-12,0.327193041952776,962
2018-04-13,0.2632622251979103,953
2018-04-16,0.4959150588400771,946
2018-04-17,0.0693212653130344,916
2018-04-18,0.0732260937743326,908
2018-04-19,0.01614204920128921,911
2018-04-20,0.12808196556356563,899
2018-04-23,0.24273086628442567,866
2018-04-24,0.11459979482698575,772
2018-04-25,0.2349753499985258,763
2018-04-26,0.20616762383363207,802
2018-04-27,0.06397425710479929,859
2018-04-30,-0.1433812936023108,834
2018-05-01,0.027631031182674983,767
2018-05-02,-0.08049241660602177,763
2018-05-03,-0.2133255007230186,822
2018-05-04,0.09160119102254617,881
2018-05-07,-0.005604704365587508,903
2018-05-08,0.10459943057233745,903
2018-05-09,0.09785889590118804,922
2018-05-10,-0.03118644414339285,955
2018-05-11,0.13787053948238975,967
2018-05-14,-0.07979381134723018,970
2018-05-15,-0.08725371606568894,962
2018-05-16,-0.033944773884201085,963
2018-05-17,-0.05885968938421687,959
2018-05-18,0.17466222656492345,958
2018-05-21,0.24801671683376997,958
2018-05-22,-0.32217222392448286,956
2018-05-23,0.06897947558599606,957
2018-05-24,-0.0031768844551564065,960
2018-05-25,-0.06933450867836564,963
2018-05-29,0.09897929786460813,962
2018-05-30,-0.017973143085475294,963
2018-05-31,0.21541650239150487,959
2018-06-01,0.04567277072401892,964
2018-06-04,-0.09875168716910765,964
2018-06-05,0.22651916506405315,959
2018-06-06,0.137053728313418,958
2018-06-07,-0.09909940216270219,966
2018-06-08,0.06977202001789606,968
2018-06-11,0.1090383084355342,969
2018-06-12,0.028094738492639063,969
2018-06-13,0.10471502683922153,970
2018-06-14,-0.10634072860163699,973
2018-06-15,-0.25443252733194066,970
